approved,submit_date,approved_date,last_update,artist,beatmap_id,beatmapset_id,bpm,creator,creator_id,difficultyrating,diff_aim,diff_speed,diff_size,diff_overall,diff_approach,diff_drain,hit_length,source,genre_id,language_id,title,total_length,version,file_md5,mode,tags,favourite_count,rating,playcount,passcount,count_normal,count_slider,count_spinner,max_combo,storyboard,video,download_unavailable,audio_unavailable
1,2007-10-07 23:13:27,2007-10-07 23:13:27,2007-10-07 23:13:27,Phantasma,100,31,140,Kylecito,488,2.34504,1.22503,1.04508,5,6,6,4,100,,10,5,Fall Memories,106,Hard,9c8b718ebc195d70fe87331ac7cca89b,0,,150,7.81365,237917,108415,85,34,1,222,0,0,0,0
1,2007-10-08 06:19:02,2007-10-08 06:19:02,2007-10-08 06:19:02,Maeken Trance Project,102,32,145,Lumino,59,2.68115,1.53191,0.904453,5,0,0,0,213,,5,3,Koi no Maiahi,215,Easy,b0ae5db5507fee6eca8d639599c7d600,0,,106,7.76596,44029,12207,335,43,3,439,0,1,0,0
1,2007-10-08 06:19:02,2007-10-08 06:19:02,2007-10-08 06:19:02,Maeken Trance Project,103,32,145,Lumino,59,2.839,1.51077,1.22227,5,7,7,10,213,,5,3,Koi no Maiahi,215,Hard,f12a98325a6c069c3ae1c6fe33618fb3,0,,106,7.76596,26780,4015,372,43,3,476,0,1,0,0
1,2007-10-08 06:19:02,2007-10-08 06:19:02,2007-10-08 06:19:02,Maeken Trance Project,104,32,145,Lumino,59,2.82383,1.48171,1.24892,5,10,10,10,213,,5,3,Koi no Maiahi,215,Insane,18a49bfcbd0c20add857de6ac50786ee,0,,106,7.76596,33579,3919,372,43,3,476,0,1,0,0
1,2007-10-08 06:19:02,2007-10-08 06:19:02,2007-10-08 06:19:02,Maeken Trance Project,105,32,145,Lumino,59,2.88704,1.55547,1.20968,5,5,5,5,213,,5,3,Koi no Maiahi,215,Normal,0e20c1f6f3a7a65c3d68165855e7fa59,0,,106,7.76596,28318,5906,372,43,3,476,0,1,0,0
1,2007-10-08 06:19:39,2007-10-08 06:19:39,2007-10-08 06:19:39,UVERworld,107,34,168,Lumino,59,3.06302,1.51294,1.47389,5,5,5,5,216,,3,3,D-tecnoLife(Album Version),262,Hard,8b7f4481662eb86e7e06d8d20decfae1,0,,167,7.61255,79427,14372,356,70,5,546,0,0,0,0
1,2007-10-08 06:19:39,2007-10-08 06:19:39,2007-10-08 06:19:39,UVERworld,108,34,168,Lumino,59,3.59768,1.92521,1.53135,7,7,7,7,216,,3,3,D-tecnoLife(Album Version),262,Insane,5d4a12ee6452d8d96e7f776affb51ac1,0,,167,7.61255,73326,9369,356,70,5,546,0,0,0,0
1,2007-10-08 06:19:39,2007-10-08 06:19:39,2007-10-08 06:19:39,UVERworld,109,34,168,Lumino,59,2.80057,1.49681,1.19474,5,5,5,5,142,,3,3,D-tecnoLife(Album Version),188,Normal,920feb900be852d5b3bf118cfa1e0ad7,0,,167,7.61255,216673,32312,211,54,4,348,0,0,0,0
1,2007-10-08 06:20:08,2007-10-08 06:20:08,2007-10-08 06:20:08,Beat Crusaders,110,35,170,Shin,229,2.68473,1.36831,1.24299,5,6,6,6,154,,3,2,Hit in the USA,173,Normal,7da67a1090adbfedc043d5cc0873789f,0,,101,6.6943,478947,98432,255,11,1,283,0,0,0,0
1,2007-10-08 06:20:29,2007-10-08 06:20:29,2007-10-08 06:20:29,U2,220,36,140,eyup,88,2.97688,1.60212,1.25059,5,5,5,5,176,,4,2,Vertigo,181,Normal,4648b70dadce8d9d914b8f3a7659416c,0,,69,8.07479,102685,14192,229,43,3,410,0,0,0,0
1,2007-10-08 06:20:38,2007-10-08 06:20:38,2007-10-08 06:20:38,UverWorld,112,37,140,Lumino,59,2.47701,1.4218,0.809796,5,0,0,0,203,,4,3,UNKNOWN ORCHESTRA,205,Easy,afa46896a8156b17bafe3c77134aa033,0,,108,8.13005,41102,17905,217,44,0,386,0,1,0,0
1,2007-10-08 06:20:38,2007-10-08 06:20:38,2007-10-08 06:20:38,UverWorld,113,37,140,Lumino,59,2.58092,1.29725,1.21691,5,7,7,10,203,,4,3,UNKNOWN ORCHESTRA,205,Hard,38eaa8476f7da1a409b91bae527ef402,0,,108,8.13005,36208,7631,244,44,0,413,0,1,0,0
1,2007-10-08 06:20:38,2007-10-08 06:20:38,2007-10-08 06:20:38,UverWorld,114,37,140,Lumino,59,2.59408,1.28544,1.24382,5,10,10,10,203,,4,3,UNKNOWN ORCHESTRA,205,Insane,df8e88ee229dd1c8a84f07d9bcaddc4c,0,,108,8.13005,38230,4884,244,44,0,413,0,1,0,0
1,2007-10-08 06:20:38,2007-10-08 06:20:38,2007-10-08 06:20:38,UverWorld,115,37,140,Lumino,59,2.45193,1.33285,1.00442,5,5,5,5,203,,4,3,UNKNOWN ORCHESTRA,205,Normal,c0ffaa4a264c5e80936887e4fbc53c09,0,,108,8.13005,26388,11298,226,44,0,395,0,1,0,0
1,2007-10-08 06:25:48,2007-10-08 06:25:48,2007-10-08 06:25:48,Amerie,116,38,100,Chan,94,3.03655,1.43454,1.52387,5,7,7,2,217,,5,2,One Thing,219,Normal,69ad5d48f941b15989935c0f4e223a5e,0,,141,7.27273,114338,29863,391,85,2,635,0,0,0,0
1,2007-10-08 06:26:57,2007-10-08 06:26:57,2007-10-08 06:26:57,BanYa,170,39,169.92,Starrodkirby86,410,3.19312,1.75501,1.26953,5,5,5,5,94,,2,5,Pump me Amadeus,96,Normal,09e3d0ba0d4b2c2161d4ff15ce90667e,0,,74,8.4276,161647,43064,140,29,1,256,0,0,0,0
1,2007-10-08 06:28:13,2007-10-08 06:28:13,2007-10-08 06:28:13,The Strokes,145,40,120.5,JacoPOP,352,2.20403,1.17688,0.941667,4,5,5,3,82,,4,2,You Only Live Once,83,For Beginners,3ce0fd080c8e485bb84b19aa886b1142,0,,224,7.27626,124222,43999,117,12,3,173,0,0,0,0
1,2007-10-08 15:47:45,2007-10-08 15:47:45,2007-10-08 15:47:45,Gumi,120,41,128,Hitoshirenu Shourai,602,2.30258,1.26706,0.910658,5,7,7,4,215,,3,3,Catch You Catch Me,216,Fun!,98975a78f028187f5c2a5cfe261e5e2a,0,,102,7.7367,108551,31060,161,69,4,381,0,0,0,0
1,2007-10-08 18:22:51,2007-10-08 18:22:51,2007-10-08 18:22:51,Caramell,122,42,138,meyou22,159,3.10595,1.75095,1.12556,5,5,5,5,202,,5,9,Caramelldansen,204,Normal,c2b3c322bc08ffc057669e4e554701da,0,,378,7.38275,173646,26386,196,27,5,363,0,0,0,0
1,2007-10-08 18:26:07,2007-10-08 18:26:07,2007-10-08 18:26:07,Beck,123,43,141.55,IcePagoda,301,2.46379,1.29852,1.08074,5,9,9,1,167,,4,2,Timebomb,168,Normal,79616729d85c1c9acc9ba3e1a1448465,0,,90,6.7406,126140,46463,245,28,3,336,0,0,0,0
1,2007-10-08 18:27:17,2007-10-08 18:27:17,2007-10-08 18:27:17,Drunken Tiger,124,44,110.01,Starrodkirby86,410,3.18714,1.6443,1.4497,5,8,8,5,98,,9,6,Emergency,100,Hard,d9406edcd399299aa48de80033444ce8,0,,34,7.1268,76544,17345,205,14,1,237,0,0,0,0
1,2007-10-08 18:27:40,2007-10-08 18:27:40,2007-10-08 18:27:40,Erisis,125,45,130.09,Elmo,95,2.66095,1.46104,1.06029,5,5,5,5,154,,3,3,Owarinaki Tabibito,161,Normal,992d97a8ca349ef261dd41e4ef96aefe,0,,26,7.32843,19608,7145,129,54,1,307,0,0,0,0
1,2007-10-08 18:27:40,2007-10-08 18:27:40,2007-10-08 18:27:40,Erisis,126,45,130.09,Elmo,95,2.54516,1.41725,0.967854,5,5,5,5,82,,3,3,Owarinaki Tabibito,89,Short,7b87732b50498b5738ce1dc034c2a423,0,,26,7.32843,26625,10150,63,27,1,149,0,0,0,0
1,2007-10-08 18:27:54,2007-10-08 18:27:54,2007-10-08 18:27:54,Hinoi Team,127,46,135,MCXD,141,1.32999,0.760839,0.43515,4,3,3,3,71,,5,3,Aishiteru,78,Breezin,2ba08fe1554e9c6dff997dbe39882af9,0,,105,7.81652,90385,57797,51,4,0,71,0,0,0,0
1,2007-10-08 18:27:54,2007-10-08 18:27:54,2007-10-08 18:27:54,Hinoi Team,128,46,135,MCXD,141,2.20402,1.25166,0.766852,5,4,4,4,71,,5,3,Aishiteru,78,Crusin,6a47085b8f299a67794b3fc1b914e5da,0,,105,7.81652,44450,24823,58,18,0,134,0,0,0,0
1,2007-10-08 18:27:54,2007-10-08 18:27:54,2007-10-08 18:27:54,Hinoi Team,129,46,135,MCXD,141,3.12462,1.69501,1.28784,7,7,7,7,71,,5,3,Aishiteru,78,Hardrock,8d238d257fb58f23dcc58450f9e204ff,0,,105,7.81652,54993,12857,97,24,0,177,0,0,0,0
1,2007-10-08 18:27:54,2007-10-08 18:27:54,2007-10-08 18:27:54,Hinoi Team,130,46,135,MCXD,141,2.80249,1.49427,1.20162,6,6,6,5,71,,5,3,Aishiteru,78,Sweatin,36e41e88aebc5db2229f09bb67bf151b,0,,105,7.81652,47351,15249,84,26,0,172,0,0,0,0
1,2007-10-08 18:30:50,2007-10-08 18:30:50,2007-10-08 18:30:50,Jay Chou,131,47,144.02,fruit,72,2.5026,1.39801,0.940129,5,7,7,6,185,,5,4,Tornado (Long Juan Feng),200,Normal,630a40c1b88b6f6ce1a1ba0bfaa161e7,0,,222,7.90259,170311,46925,138,80,2,405,0,0,0,0
1,2007-10-08 18:32:41,2007-10-08 18:32:41,2007-10-08 18:32:41,Lily Allen,132,48,95.48,meyou22,159,2.92126,1.65576,1.03121,5,5,5,5,218,,5,2,Smile,220,Normal,9c68e565e31b52834f3ce283fbb21e7d,0,,120,6.85714,75544,12165,194,33,3,368,0,0,0,0
1,2007-10-08 18:34:58,2007-10-08 18:34:58,2007-10-08 18:34:58,Kenji Ohtsuki,133,49,186,Elle,57,2.518,1.36316,1.04249,5,2,2,3,78,,3,3,Hitotoshite Jiku ga Bureteiru,81,Normal,4f13acb6475d96586a79fefdb2bd4627,0,,44,7.14716,57147,25987,94,6,0,110,0,0,0,0
1,2007-10-08 18:35:06,2007-10-08 18:35:06,2007-10-08 18:35:06,Maroon 5,134,50,88.03,eyup,88,2.84136,1.54267,1.16823,5,5,5,8,170,,5,2,Sunday Morning,175,Normal,2608405f1f5040930a3075ecd1962586,0,,199,6.10156,155754,10800,170,73,3,372,0,0,0,0
1,2007-10-08 18:35:23,2007-10-08 18:35:23,2007-10-08 18:35:23,Linkin Park,152,51,120.05,eyup,88,3.98955,2.22073,1.52332,7,6,6,6,190,,4,2,What I've Done,193,Hard,4d3e7e971bfa017082c7eae3c97996c6,0,,343,7.79894,238658,18704,220,104,5,529,0,0,0,0
1,2007-10-08 18:35:23,2007-10-08 18:35:23,2007-10-08 18:35:23,Linkin Park,153,51,120.05,eyup,88,2.90836,1.57547,1.20274,5,5,5,5,190,,4,2,What I've Done,193,Normal,db635d659e065beef40b73b08fc2c315,0,,343,7.79894,329050,67164,142,70,3,357,0,0,0,0
1,2007-10-08 18:36:35,2007-10-08 18:36:35,2007-10-08 18:36:35,Marta,137,52,160,Level-Up,407,2.49573,1.38798,0.953263,5,5,5,5,139,,2,2,The SMRPG Song,152,Normal,ba0074806a2c930fb018e5d825f828b3,0,,80,7.72823,90318,25941,142,10,2,206,0,0,0,0
1,2007-10-08 18:38:39,2007-10-08 18:38:39,2007-10-08 18:38:39,Romantic Mode,141,54,127.88,Elzamxrai,321,2.44038,1.35431,0.939031,5,5,5,5,58,,3,3,Dreams,96,Normal,ac6e971d689e87e12d8c170e1f5b31ff,0,,31,8.19298,44938,17611,44,32,3,138,0,0,0,0
1,2007-10-08 18:38:49,2007-10-08 18:38:49,2007-10-08 18:38:49,Storm Lee,162,55,122.03,Behonkiss,106,2.71504,1.49714,1.06784,5,5,5,5,175,,4,2,Comin' Up For Air,177,Normal,eb3580e42f8510117fc2df91b71e2e73,0,,19,7.45455,33057,5358,227,47,2,394,0,0,0,0
1,2007-10-08 18:41:28,2007-10-08 18:41:28,2007-10-08 18:41:28,Yasunori Mitsuda,164,56,115.56,Starrodkirby86,410,1.77376,1.00454,0.623451,5,5,5,5,74,,2,5,Robo's Theme,75,Easy,2ef0fe54648fb149dab9580df6d06080,0,,19,7.63112,38522,17145,49,16,1,98,0,0,0,0
1,2007-10-08 18:41:38,2007-10-08 18:41:38,2007-10-08 18:41:38,Two - Mix,144,57,132,Elzamxrai,321,2.58276,1.40167,1.06274,3,4,4,4,85,,3,3,Just Communication,103,Easy,7c9eb2fcb5667d00eb7edf317f260adf,0,,73,7.63212,112513,31162,108,31,0,204,0,0,0,0
1,2007-10-08 18:42:29,2007-10-08 18:42:29,2007-10-08 18:42:29,Wang Lee Hom,146,58,130,Chan,94,2.92961,1.38747,1.4672,5,6,6,5,213,,5,2,Not Your Average Thug,215,Hard,306fd57cabaf6ede45e2513800becc59,0,,27,6.79545,55813,8554,383,74,0,579,0,0,0,0
1,2007-10-08 18:42:40,2007-10-08 18:42:40,2007-10-08 18:42:40,Vision Divine,147,59,170.1,Kylecito,488,2.85812,1.46898,1.30742,3,7,7,3,104,,11,2,Take On Me,108,Hard,21b4a375d307258be868737b7f1d5d6c,0,a-ha cover,58,7.22075,76513,29854,205,25,1,302,0,0,0,0
1,2007-10-08 18:43:51,2007-10-08 18:43:51,2007-10-08 18:43:51,Yiruma,148,60,140,tsububu,61,3.20308,1.592,1.5306,5,5,5,5,234,,2,5,River Flows in You [Paul John's Remix],237,Normal,e62ff5ce6cca6bb72f57b9901aa0ace2,0,,81,7.16188,74545,13064,329,70,5,509,0,0,0,0
1,2007-10-08 19:07:18,2007-10-08 19:07:18,2007-10-08 19:07:18,The Chemical Brothers,200,62,104,IcePagoda,301,2.27582,1.2146,0.973457,5,7,7,3,184,,9,2,Galvanize,189,Normal,010ed9fe027189be566ccae344f401de,0,,121,8.04897,40519,16471,236,21,9,348,0,1,0,0
1,2007-10-08 21:57:43,2007-10-08 21:57:43,2007-10-08 21:57:43,Sonata Arctica,250,63,199.72,ZZT the Fifth,108,2.91946,1.61484,1.13731,5,5,5,4,122,,11,2,Black Sheep,197,Hard,3275bc96a887eebf3229f4e960e53bfc,0,,79,8.26113,170775,31927,107,76,3,506,0,0,0,0
1,2007-10-09 17:24:49,2007-10-09 17:24:49,2007-10-09 17:24:49,The Pillows,195,64,138.3,Hitoshirenu Shourai,602,2.79171,1.53558,1.10667,5,5,5,5,130,,3,3,Ride on shooting star,132,Normal,ffb857952109af9ff1b958c3055d8f14,0,flcl fooly cooly,69,8.46239,75259,18564,145,54,1,268,0,0,0,0
1,2007-10-09 17:47:44,2007-10-09 17:47:44,2007-10-09 17:47:44,Crystal Kay,155,65,71,Hitoshirenu Shourai,602,1.59959,0.930808,0.450932,5,2,2,5,253,,3,3,Motherland,255,Easy,e599c65673db9a7f7c47377c83e3dfc9,0,,77,8.11678,72653,31511,118,42,0,247,0,0,0,0
1,2007-10-09 17:51:44,2007-10-09 17:51:44,2007-10-09 17:51:44,Dudelstudios,178,66,123,Behonkiss,106,3.15456,1.74981,1.21785,5,5,5,5,155,,7,2,Angry Video Game Nerd Theme [MATURE CONTENT],158,Hard,2327e8acdd76b51ae638409f7400bb98,0,profanity nintendo,106,6.50063,188851,33754,211,56,5,387,0,0,0,0
1,2007-10-09 18:29:44,2007-10-09 18:29:44,2007-10-09 18:29:44,Akira Yamaoka,160,67,146.09,FakeJapanMan!,508,2.62882,1.49344,0.915686,5,5,5,3,111,,2,5,Lion Suki,114,Normal,9ab7a5b5a3afd4e94b34bc6dba8b7ee5,0,,17,6.73995,37921,11655,116,21,2,225,0,0,0,0
1,2007-10-09 18:36:48,2007-10-09 18:36:48,2007-10-09 18:36:48,BEAT CRUSADERS,159,70,178.1,Hitoshirenu Shourai,602,3.09716,1.7859,0.985152,6,6,6,3,145,,4,3,"TONIGHT,TONIGHT,TONIGHT",145,Normal,5831fd636d45bb6f01ccc78dfd99c600,0,,76,8.13618,99678,38689,88,65,5,304,0,0,0,0
1,2007-10-10 18:19:59,2007-10-10 18:19:59,2007-10-10 18:19:59,F.I.R.,161,71,81,fruit,72,2.41017,1.28359,1.03564,5,7,7,6,164,,5,4,Lydia,188,Normal,212285bff4faea64650b00729818c66a,0,fir,125,7.69405,202857,28181,135,59,2,379,0,0,0,0
1,2007-10-10 21:15:32,2007-10-10 21:15:32,2007-10-10 21:15:32,Daft Punk,166,72,123.5,JacoPOP,352,3.29484,1.78742,1.35805,5,6,6,6,146,,10,2,"Harder, Better, Faster, Stronger (edit)",151,Normal,21afe9203642964e376aad927f6249b7,0,,367,7.66731,306632,40451,266,40,8,374,0,0,0,0
1,2007-10-10 21:26:12,2007-10-10 21:26:12,2007-10-10 21:26:12,LM.C,167,73,188,Donryu,904,2.62962,1.47888,0.961423,5,5,5,5,162,,3,3,BOYS & GIRLS,230,Normal,7e90372814980b86d888e8529c0f7322,0,,44,8.407,77543,19389,145,68,7,393,0,0,0,0
